address,buurt,bouwjaar,grondoppervlakte,oppervlakte,woz_2014,woz_2015,woz_2016,woz_2017,woz_2018,woz_2019,woz_2020,woz_2021,woz_2022,woz_2023
Cremerplein 00069,"Nieuw Engeland, Th. a. Kempisplantsoen en omgeving",1938,0,90,178000.0,179000.0,208000.0,282000.0,309000.0,321000.0,349000.0,356000.0,412000.0,416000
Bilderdijkstraat 00070,"Nieuw Engeland, Th. a. Kempisplantsoen en omgeving",1906,0,70,166000.0,167000.0,231000.0,246000.0,256000.0,309000.0,329000.0,364000.0,409000.0,376000
Bilderdijkstraat 70-BS,"Nieuw Engeland, Th. a. Kempisplantsoen en omgeving",1906,0,112,206000.0,207000.0,266000.0,334000.0,386000.0,468000.0,480000.0,452000.0,481000.0,480000
Cremerplein 00070,"Nieuw Engeland, Th. a. Kempisplantsoen en omgeving",1938,0,95,165000.0,166000.0,204000.0,283000.0,311000.0,324000.0,353000.0,361000.0,415000.0,461000
Cremerstraat 00070,"Nieuw Engeland, Th. a. Kempisplantsoen en omgeving",1904,82,116,201000.0,201000.0,229000.0,237000.0,306000.0,315000.0,343000.0,372000.0,436000.0,591000
Jaffastraat 00070,"Nieuw Engeland, Th. a. Kempisplantsoen en omgeving",1951,0,66,136000.0,135000.0,149000.0,180000.0,205000.0,222000.0,244000.0,245000.0,305000.0,306000
Bilderdijkstraat 00071,"Nieuw Engeland, Th. a. Kempisplantsoen en omgeving",1910,89,134,244000.0,244000.0,283000.0,299000.0,318000.0,430000.0,414000.0,473000.0,599000.0,515000
Bilderdijkstraat 00072,"Nieuw Engeland, Th. a. Kempisplantsoen en omgeving",1906,0,60,145000.0,146000.0,192000.0,195000.0,215000.0,260000.0,277000.0,307000.0,372000.0,327000
Bilderdijkstraat 72-BS,"Nieuw Engeland, Th. a. Kempisplantsoen en omgeving",1906,0,112,198000.0,199000.0,266000.0,344000.0,377000.0,392000.0,427000.0,436000.0,522000.0,512000
Cremerstraat 00072,"Nieuw Engeland, Th. a. Kempisplantsoen en omgeving",1904,82,112,194000.0,194000.0,250000.0,232000.0,304000.0,377000.0,415000.0,452000.0,500000.0,536000
Jaffastraat 00072,"Nieuw Engeland, Th. a. Kempisplantsoen en omgeving",1951,0,74,136000.0,135000.0,149000.0,180000.0,205000.0,222000.0,244000.0,273000.0,349000.0,327000
Bilderdijkstraat 00073,"Nieuw Engeland, Th. a. Kempisplantsoen en omgeving",1906,88,118,256000.0,257000.0,294000.0,309000.0,327000.0,359000.0,383000.0,440000.0,565000.0,509000
Bilderdijkstraat 00074,"Nieuw Engeland, Th. a. Kempisplantsoen en omgeving",1906,0,64,149000.0,150000.0,215000.0,206000.0,226000.0,275000.0,292000.0,325000.0,382000.0,336000
Bilderdijkstraat 74-BS,"Nieuw Engeland, Th. a. Kempisplantsoen en omgeving",1906,0,112,206000.0,207000.0,266000.0,334000.0,386000.0,468000.0,330000.0,374000.0,382000.0,434000
Cremerstraat 00074,"Nieuw Engeland, Th. a. Kempisplantsoen en omgeving",1904,82,82,190000.0,190000.0,216000.0,237000.0,306000.0,315000.0,343000.0,372000.0,436000.0,472000
Jaffastraat 00074,"Nieuw Engeland, Th. a. Kempisplantsoen en omgeving",1951,0,74,136000.0,135000.0,149000.0,180000.0,248000.0,290000.0,315000.0,302000.0,379000.0,339000
Bilderdijkstraat 00075,"Nieuw Engeland, Th. a. Kempisplantsoen en omgeving",1906,65,85,254000.0,255000.0,292000.0,307000.0,324000.0,357000.0,381000.0,437000.0,521000.0,469000
Bilderdijkstraat 00076,"Nieuw Engeland, Th. a. Kempisplantsoen en omgeving",1906,0,60,136000.0,136000.0,183000.0,186000.0,206000.0,251000.0,268000.0,298000.0,353000.0,311000
Bilderdijkstraat 76-BS,"Nieuw Engeland, Th. a. Kempisplantsoen en omgeving",1906,0,112,206000.0,207000.0,267000.0,335000.0,387000.0,469000.0,481000.0,453000.0,482000.0,481000
