address,bouwjaar,grondoppervlakte,oppervlakte,woz_2014,woz_2015,woz_2016,woz_2017,woz_2018,woz_2019,woz_2020,woz_2021,woz_2022,woz_2023
Berkelstraat 00052,1931,95.0,105,260000.0,261000.0,295000.0,323000.0,387000.0,407000.0,447000.0,451000.0,572000.0,558000.0
Croesestraat 00052,2009,0.0,65,172000.0,173000.0,200000.0,200000.0,254000.0,295000.0,298000.0,336000.0,378000.0,400000.0
Dollardstraat 00052,1996,0.0,81,206000.0,204000.0,211000.0,271000.0,267000.0,309000.0,335000.0,316000.0,417000.0,402000.0
Eemstraat 00052,1980,0.0,28,100000.0,101000.0,102000.0,106000.0,116000.0,129000.0,141000.0,157000.0,188000.0,214000.0
Giessenplein 00052,1990,0.0,70,169000.0,167000.0,189000.0,199000.0,243000.0,266000.0,293000.0,321000.0,388000.0,385000.0
Gouwestraat 00052,1926,79.0,90,199000.0,199000.0,241000.0,303000.0,339000.0,369000.0,383000.0,443000.0,425000.0,426000.0
Grebbestraat 00052,1996,0.0,86,199000.0,200000.0,206000.0,245000.0,283000.0,300000.0,328000.0,322000.0,408000.0,383000.0
Hunzestraat 00052,1984,0.0,55,154000.0,153000.0,158000.0,175000.0,201000.0,224000.0,237000.0,264000.0,280000.0,268000.0
Jutfaseweg 00052,1920,0.0,120,218000.0,219000.0,286000.0,310000.0,377000.0,399000.0,401000.0,456000.0,515000.0,542000.0
Maasstraat 00052,1999,0.0,82,173000.0,174000.0,182000.0,205000.0,239000.0,259000.0,278000.0,289000.0,385000.0,365000.0
Merwedestraat 00052,1925,99.0,60,165000.0,165000.0,174000.0,201000.0,238000.0,270000.0,295000.0,360000.0,435000.0,397000.0
Mijdrechtstraat 00052,1931,87.0,75,232000.0,232000.0,293000.0,335000.0,352000.0,366000.0,382000.0,439000.0,542000.0,492000.0
Reggestraat 00052,1919,104.0,75,209000.0,209000.0,249000.0,321000.0,360000.0,399000.0,433000.0,432000.0,495000.0,468000.0
Reitdiepstraat 00052,1955,0.0,76,58000.0,58000.0,60000.0,64000.0,64000.0,71000.0,71000.0,79000.0,79000.0,79000.0
Reitdiepstraat 052-1,1955,0.0,76,58000.0,58000.0,60000.0,64000.0,64000.0,71000.0,71000.0,79000.0,79000.0,79000.0
Rijnlaan 00052,1928,138.0,119,282000.0,283000.0,333000.0,338000.0,373000.0,459000.0,482000.0,528000.0,676000.0,660000.0
Roerstraat 00052,1992,0.0,79,168000.0,167000.0,173000.0,200000.0,231000.0,261000.0,285000.0,323000.0,379000.0,369000.0
Scheldestraat 00052,1978,0.0,73,160000.0,161000.0,166000.0,177000.0,204000.0,225000.0,246000.0,273000.0,326000.0,324000.0
Schipbeekstraat 00052,1919,0.0,88,193000.0,193000.0,235000.0,243000.0,269000.0,308000.0,348000.0,390000.0,514000.0,480000.0
Socrateslaan 00052,1939,0.0,90,169000.0,167000.0,185000.0,240000.0,270000.0,286000.0,313000.0,352000.0,415000.0,440000.0
Spaarnestraat 00052,1919,106.0,88,190000.0,190000.0,217000.0,231000.0,255000.0,296000.0,335000.0,378000.0,495000.0,460000.0
Spuistraat 00052,1919,73.0,71,140000.0,140000.0,147000.0,175000.0,210000.0,242000.0,267000.0,340000.0,424000.0,398000.0
Vlisthof 00052,1992,0.0,69,169000.0,167000.0,183000.0,191000.0,226000.0,253000.0,277000.0,300000.0,385000.0,380000.0
Volkerakstraat 00052,1931,71.0,74,180000.0,180000.0,212000.0,257000.0,293000.0,304000.0,331000.0,341000.0,422000.0,439000.0
Westravenstraat 00052,1996,130.0,117,246000.0,246000.0,275000.0,309000.0,427000.0,461000.0,486000.0,526000.0,569000.0,581000.0
Amstelstraat 0052A,1999,0.0,67,151000.0,159000.0,164000.0,185000.0,214000.0,240000.0,254000.0,258000.0,327000.0,321000.0
Croesestraat 0052A,2009,0.0,49,168000.0,169000.0,199000.0,195000.0,226000.0,243000.0,261000.0,280000.0,314000.0,315000.0
Croesestraat 0052B,2009,0.0,53,168000.0,169000.0,200000.0,220000.0,259000.0,277000.0,297000.0,280000.0,329000.0,362000.0
Amaliadwarsstraat 00053,1996,0.0,81,192000.0,193000.0,,195000.0,225000.0,251000.0,274000.0,284000.0,400000.0,385000.0
Amaliastraat 00053,1904,0.0,53,184000.0,185000.0,155000.0,180000.0,231000.0,218000.0,239000.0,257000.0,351000.0,359000.0
Amerhof 00053,1979,0.0,29,79000.0,78000.0,99000.0,104000.0,112000.0,128000.0,140000.0,156000.0,194000.0,190000.0
Amstelstraat 00053,1999,0.0,100,226000.0,220000.0,233000.0,253000.0,280000.0,316000.0,345000.0,392000.0,541000.0,531000.0
Berkelstraat 00053,1919,85.0,65,176000.0,176000.0,187000.0,234000.0,393000.0,319000.0,347000.0,373000.0,442000.0,434000.0
Croesestraat 00053,1906,91.0,82,273000.0,274000.0,384000.0,422000.0,404000.0,520000.0,588000.0,644000.0,719000.0,651000.0
Dinkelstraat 00053,1979,0.0,28,100000.0,101000.0,102000.0,106000.0,116000.0,129000.0,141000.0,157000.0,188000.0,214000.0
Dommelstraat 00053,1982,0.0,53,,149000.0,153000.0,175000.0,191000.0,213000.0,232000.0,258000.0,275000.0,254000.0
Giessenplein 00053,1990,0.0,70,169000.0,167000.0,189000.0,199000.0,247000.0,266000.0,296000.0,325000.0,392000.0,385000.0
Jutfaseweg 00053,1920,0.0,97,171000.0,172000.0,280000.0,256000.0,309000.0,326000.0,328000.0,365000.0,470000.0,474000.0
Lingestraat 00053,1999,0.0,100,226000.0,239000.0,221000.0,241000.0,266000.0,304000.0,333000.0,391000.0,535000.0,525000.0
Maasstraat 00053,1999,0.0,78,181000.0,182000.0,179000.0,200000.0,233000.0,232000.0,254000.0,283000.0,375000.0,367000.0
Merwedestraat 00053,1928,81.0,72,195000.0,195000.0,227000.0,237000.0,283000.0,318000.0,347000.0,367000.0,427000.0,427000.0
Mijdrechtstraat 00053,1973,123.0,116,224000.0,224000.0,261000.0,331000.0,327000.0,362000.0,399000.0,445000.0,531000.0,579000.0
Noordzeestraat 00053,2009,95.0,122,272000.0,273000.0,430000.0,436000.0,482000.0,513000.0,529000.0,535000.0,705000.0,639000.0
Reitdiepstraat 00053,2006,0.0,105,234000.0,232000.0,286000.0,328000.0,345000.0,417000.0,439000.0,456000.0,541000.0,538000.0
Rijnlaan 00053,1927,0.0,70,163000.0,164000.0,169000.0,248000.0,286000.0,252000.0,290000.0,310000.0,437000.0,414000.0
Rijnlaan 53-BS,1927,0.0,90,170000.0,171000.0,193000.0,216000.0,264000.0,307000.0,335000.0,350000.0,394000.0,436000.0
Scheldestraat 00053,1919,62.0,68,145000.0,145000.0,153000.0,182000.0,218000.0,251000.0,276000.0,342000.0,403000.0,371000.0
Schipbeekstraat 00053,1919,122.0,88,194000.0,194000.0,234000.0,242000.0,268000.0,307000.0,347000.0,389000.0,513000.0,478000.0
Spaarnestraat 00053,1919,0.0,88,193000.0,193000.0,224000.0,238000.0,263000.0,303000.0,342000.0,385000.0,506000.0,471000.0
Vlisthof 00053,1992,0.0,69,169000.0,167000.0,183000.0,191000.0,226000.0,253000.0,277000.0,300000.0,385000.0,380000.0
Waalstraat 00053,1932,108.0,75,216000.0,216000.0,255000.0,319000.0,336000.0,355000.0,361000.0,415000.0,512000.0,519000.0
Westravenstraat 00053,1919,58.0,81,154000.0,154000.0,186000.0,240000.0,273000.0,203000.0,233000.0,271000.0,369000.0,376000.0
Amaliastraat 0053A,1904,0.0,33,126000.0,126000.0,130000.0,137000.0,177000.0,182000.0,200000.0,221000.0,255000.0,265000.0
Amaliastraat 0053B,1904,0.0,35,131000.0,131000.0,135000.0,145000.0,186000.0,194000.0,213000.0,256000.0,264000.0,272000.0
Amaliastraat 00054,1904,73.0,90,259000.0,260000.0,284000.0,337000.0,338000.0,412000.0,419000.0,472000.0,576000.0,493000.0
Amstelstraat 00054,1999,0.0,71,171000.0,173000.0,178000.0,188000.0,217000.0,243000.0,258000.0,262000.0,336000.0,331000.0
Berkelstraat 00054,1931,94.0,105,252000.0,253000.0,309000.0,347000.0,370000.0,388000.0,439000.0,517000.0,582000.0,558000.0
Croesestraat 00054,2009,0.0,66,163000.0,164000.0,203000.0,203000.0,255000.0,297000.0,340000.0,379000.0,378000.0,402000.0
Dollardstraat 00054,1996,0.0,81,206000.0,204000.0,211000.0,265000.0,267000.0,285000.0,308000.0,316000.0,417000.0,402000.0
Eemstraat 00054,1980,0.0,52,133000.0,134000.0,145000.0,153000.0,177000.0,188000.0,206000.0,229000.0,289000.0,293000.0
Giessenplein 00054,1990,0.0,70,169000.0,167000.0,189000.0,199000.0,243000.0,266000.0,293000.0,321000.0,388000.0,385000.0
Grebbestraat 00054,1996,0.0,86,199000.0,200000.0,206000.0,245000.0,283000.0,300000.0,328000.0,322000.0,408000.0,383000.0
Hunzestraat 00054,1984,0.0,45,138000.0,137000.0,141000.0,144000.0,166000.0,184000.0,194000.0,216000.0,253000.0,243000.0
