regio,gm_naam,gwb_code,a_inw,bev_dich,p_wcorpw,g_ele,g_gas,g_ink_po,g_ink_pi,p_hh_hi,a_soz_ww,pst_mvp,pst_dekp,ste_oad,woz_2023,woz_2024,woz_2025,woz_2026,act_woz_incr,pred_change_25,pred_change_26
Wippolder-Zuid,Delft,BU05032803,1660.0,12569.0,74.0,1976.0493827160487,499.2872722948002,28.8,24.70000000000001,6.900000000000002,9.629629629629632,2628.0,1,2732.0,295.0,308.0,316,322,98.71,2.6,1.9
TU-Campus,Delft,BU05032805,2750.0,3637.0,67.0,1563.1757018204485,287.1514290080909,19.1,17.3,0.5,53.42724928654379,2628.0,1,2323.0,139.0,161.0,177,193,130.0,9.94,9.04
Pauwmolen,Delft,BU05032808,115.0,1395.0,7.000000000000002,4153.591054795185,1249.0123456790122,19.1,19.51524334444865,0.5,0.0,2628.0,1,1906.0,650.0,653.0,694,732,12960.0,6.28,5.48
Koningsveldbuurt,Delft,BU05032809,635.0,9969.0,0.0,2547.1604938271603,998.7562421113756,59.09532559542991,48.92215051290353,39.70000000000001,-0.2469135802469146,2628.0,1,4635.0,626.0,642.0,647,648,70.74,0.78,0.15
Bedrijventerrein Rotterdamseweg-Zuid,Delft,BU05032900,220.0,1888.0,0.0,2677.6199378817,1083.784494957528,39.85698864490472,35.824601901467545,19.883222571304103,0.0,2629.0,1,1024.0,314.0,338.0,352,359,76.96,4.14,1.99
Oostsloot,Den Helder,BU04000101,1085.0,7864.0,20.0,1964.691358024692,740.3134441895942,32.49999999999999,30.0,7.800000000000001,9.506172839506172,1781.0,1,2251.0,166.0,185.0,196,209,65.18,5.95,6.63
Centrum,Den Helder,BU04000102,1425.0,7432.0,35.0,1529.4063987602833,128.00720889742524,31.500000000000007,28.300000000000008,6.199999999999999,7.714660932957731,1781.0,1,2837.0,181.0,192.0,201,211,64.1,4.69,4.98
Willemsoord,Den Helder,BU04000103,609.9999999999999,1222.0,55.0,1921.6484509683587,652.0987654320987,46.1,41.500000000000014,16.31896277865658,-15.21687267018385,1781.0,1,1940.0,196.0,215.0,236,253,70.63,9.77,7.2
Sluisdijk,Den Helder,BU04000104,980.0,6945.0,51.0,1974.1975308641968,357.9296952504924,34.20000000000001,30.099999999999994,6.199999999999999,9.753086419753089,1781.0,1,3098.0,167.0,182.0,199,216,55.56,9.34,8.54
Visbuurt,Den Helder,BU04000105,2380.0,10073.0,15.0,2083.703703703704,837.8382463493439,31.500000000000004,26.899999999999995,7.199999999999999,9.1358024691358,1781.0,1,2458.0,159.0,170.0,182,197,55.96,7.06,8.24
Grachtengordel,Den Helder,BU04000106,740.0,6657.0,22.0,2133.703703703704,854.1709970092055,31.2,30.5,16.684089315099666,-6.875721357643631,1781.0,1,1828.0,171.0,182.0,196,207,22.97,7.69,5.61
Vogelbuurt,Den Helder,BU04000108,1850.0,5194.0,39.0,2022.3456790123453,821.2413774403648,37.10000000000001,29.8,13.3,9.506172839506172,1781.0,1,2425.0,201.0,232.0,247,263,70.59,6.47,6.48
